STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL
NIDA-CTN-0001,TS,1,ADDON,TEST PRODUCT IS BEING ADDED ON TO EXISTING TREATMENT,Y
NIDA-CTN-0001,TS,2,AGEGRP,AGE GROUP,CHILDREN AND ADULTS
NIDA-CTN-0001,TS,3,AGEMAX,PLANNED MAXIMUM AGE OF SUBJECTS,NO UPPER LIMIT
NIDA-CTN-0001,TS,4,AGEMIN,PLANNED MINIMUM AGE OF SUBJECTS,15 YEARS
NIDA-CTN-0001,TS,5,COMPTRT,COMPARATIVE TREATMENT NAME,CLONIDINE
NIDA-CTN-0001,TS,6,CONTROL,TYPE OF CONTROL,ACTIVE
NIDA-CTN-0001,TS,7,DESGN,TRIAL DESIGN,SINGLE GROUP PARALLEL
NIDA-CTN-0001,TS,8,DIAGGRP,DIAGNOSIS GROUP,ADDICTED SUBJECTS
NIDA-CTN-0001,TS,9,DOSTOT,TEST PRODUCT TOTAL DAILY DOSE,ESCALATING FROM 4 MG BUP/1 MG NX TO 16 MG BUP TO 4 MG NX
NIDA-CTN-0001,TS,10,DOSU,TEST PRODUCT DOSE UNITS,MG
NIDA-CTN-0001,TS,11,DRUGDICT,DRUG DICTIONARY,NONE
NIDA-CTN-0001,TS,12,INDIC,TRIAL INDICATIONS,OPIATE DEPENDENCE
NIDA-CTN-0001,TS,13,INDICTYP,TRIAL INDICATION TYPE,TREATMENT
NIDA-CTN-0001,TS,14,LENGTH,LENGTH OF TRIAL,P6M
NIDA-CTN-0001,TS,15,MASK,TRIAL BLINDING SCHEMA,OPEN LABEL
NIDA-CTN-0001,TS,16,OBJPRIM,TRIAL PRIMARY OBJECTIVE,COMPARE THE RELATIVE CLINICAL UTILITY OF BUP/NX TO CLONIDINE IN A SHORT-TERM (13 DAY) DETOXIFICATION INITIATED IN AN INPATIENT SETTING
NIDA-CTN-0001,TS,17,OBJSEC,TRIAL SECONDARY OBJECTIVE,"DETERMINE THE EFFECT OF TREATMENT ON WITHDRAWAL SYMPTOMS, TREATMENT RETENTION, SAFETY, PATIENT SATISFACTION, AND EXTENT OF ANCILLARY MEDICATIONS DISPENSED"
NIDA-CTN-0001,TS,18,PHASE,TRIAL PHASE,4
NIDA-CTN-0001,TS,19,PLANSUB,PLANNED NUMBER OF SUBJECTS,360
NIDA-CTN-0001,TS,20,RANDOM,TRIAL IS RANDOMIZED,Y
NIDA-CTN-0001,TS,21,RANRATIO,RANDOMIZATION RATIO,2:1 TEST TO COMPARATOR
NIDA-CTN-0001,TS,22,ROUTE,TEST PRODUCT ROUTE OF ADMINISTRATION,SUBLINGUAL
NIDA-CTN-0001,TS,23,SEXPOP,SEX OF PARTICIPANTS,BOTH
NIDA-CTN-0001,TS,24,SPONSOR,SPONSORING ORGANIZATION,NIDA
NIDA-CTN-0001,TS,25,TITLE,TRIAL TITLE,BUPRENORPHINE/NALOXONE VERSUS CLONIDINE FOR INPATIENT OPIATE DETOXIFICATION
NIDA-CTN-0001,TS,26,TRT,REPORTED NAME OF TEST PRODUCT,BUPRENORPHINE/CLONIDINE
NIDA-CTN-0001,TS,27,TYPE,TYPE OF TRIAL,EFFICACY
